cd_setor;nm_dist;qt_pessoas;area_km2;qt_crimes;tx_crimes_1000_hab;log_tx_crimes_1000_hab;indice_infraestrutura_urbana;indice_mobilidade_urbana;indice_caminhabilidade;indice_vulnerabilidade_urbana;log_renda_media;densidade_populacional
355030804000041;Aricanduva;707;0.0593703;19;26.874115983026876;3.32769851566401;0.6424378622654484;0.09770114942528736;0.3705177325866981;0.17707383596337425;8.203328663776214;11908.311057885845
355030804000059;Aricanduva;629;0.0323287;14;22.257551669316374;3.1466298822776455;0.7136929460580913;0.0;0.5435684647302904;0.10082411249423698;7.6565878445631395;19456.39632895848
355030804000102;Aricanduva;816;0.0465566;42;51.470588235294116;3.9602527885237935;0.6766666666666667;0.055;0.5611111111111111;0.11083568075117371;7.7573932563015155;17527.053092364993
355030804000122;Aricanduva;673;0.0330228;13;19.316493313521548;3.011433034664354;0.7016806722689076;0.0;0.7535014005602241;0.11763422926422477;7.856447371140706;20379.858764247732
355030804000129;Aricanduva;485;0.0497268;50;103.09278350515463;4.645282650500938;0.7127450980392157;0.0;0.3208396178984414;0.08009000321440052;7.91182609231692;9753.29198741926
355030804000137;Aricanduva;528;0.0052215;0;0.0;0.0;0.6666666666666666;0.0;0.6666666666666666;0.21028353527277202;8.735491423105396;101120.36771042805
355030804000138;Aricanduva;610;0.0490857;33;54.09836065573771;4.009119963551795;0.6296296296296297;0.023148148148148147;0.478395061728395;0.17194444444444443;8.140959647547083;12427.244594657914
355030804000139;Aricanduva;371;0.0489916;14;37.73584905660377;3.6567655034668114;0.6514084507042254;0.014084507042253521;0.4272300469483568;0.16398847631241997;8.443421778004883;7572.726753157684
355030804000161;Aricanduva;611;0.0195723;7;11.456628477905074;2.522252889095796;0.6003401360544217;0.061224489795918366;0.6581632653061225;0.1454725579552209;7.53978208986298;31217.588121988727
355030804000171;Aricanduva;536;0.0776835;18;33.582089552238806;3.54333590504141;0.6888341543513956;0.41133004926108374;0.5878489326765189;0.015454545454545453;8.26116222918414;6899.792105144593
355030804000175;Aricanduva;380;0.0372934;23;60.526315789473685;4.119464982305628;0.7137681159420289;0.09057971014492754;0.6497584541062802;0.09545493525426638;7.962363432152192;10189.470522934354
355030805000050;Artur Alvim;361;0.0155482;0;0.0;0.0;0.7004662004662005;0.7972027972027972;0.3333333333333333;0.17694055944055945;8.071640194266443;23218.121711838026
355030805000070;Artur Alvim;789;0.0426657;10;12.674271229404308;2.615516054705466;0.6459074733096085;0.09074733096085409;0.3333333333333333;0.18430593826347907;8.015492475427248;18492.606473115407
355030805000081;Artur Alvim;593;0.02126;26;43.84485666104553;3.8032089032452134;0.9031165311653117;0.20934959349593496;0.47289972899729;0.02214285714285714;8.226771369275461;27892.75634995296
355030805000116;Artur Alvim;476;0.0181988;9;18.907563025210084;2.991099711047256;0.899641577060932;1.0;0.8673835125448028;0.13143010752688172;8.16967901635503;26155.57069696903
355030805000123;Artur Alvim;689;0.0476608;29;42.0899854862119;3.7632906148027168;0.6977272727272728;0.12954545454545455;0.3606060606060606;0.11000000000000001;7.784543978136372;14456.324694507855
355030805000138;Artur Alvim;582;0.0536253;20;34.364261168384886;3.5657017386645995;0.7318840579710145;0.09420289855072464;0.534621578099839;0.09611723988751893;8.33688879877802;10853.086136581054
355030805000143;Artur Alvim;637;0.0320723;11;17.26844583987441;2.9051753005359133;0.6059322033898306;0.0;0.3333333333333333;0.20883534136546186;7.943555555238376;19861.375704268172
355030805000146;Artur Alvim;423;0.035052;11;26.004728132387708;3.296011966687669;0.762987012987013;0.21753246753246752;0.3268398268398269;0.05954683614258081;8.02539538505483;12067.785005135227
355030805000150;Artur Alvim;276;0.0194081;2;7.246376811594203;2.1097739295290716;0.8354978354978355;0.07954545454545454;0.3906926406926407;0.08814760508308896;7.790336164941818;14220.86654541145
